Country Name,GDP
Aruba,3126019385
Africa Eastern and Southern,1.082E+12
Afghanistan,14583135237
Africa Western and Central,8.4446E+11
Angola,65685435100
Albania,17930565119
Andorra,3325145407
Arab World,2.92846E+12
United Arab Emirates,4.15022E+11
Argentina,4.87227E+11
Armenia,13861409969
American Samoa,709000000
Antigua and Barbuda,1560518519
Australia,1.5527E+12
Austria,4.80368E+11
Azerbaijan,54825411765
Burundi,2775798697
Belgium,5.94352E+11
Benin,17690083520
Burkina Faso,19737616003
Bangladesh,4.16265E+11
Bulgaria,84061395658
Bahrain,39303403989
"Bahamas, The",11527600000
Bosnia and Herzegovina,23649566069
Belarus,69673747132
Belize,2491500000
Bermuda,7127200000
Bolivia,40408208524
Brazil,1.64962E+12
Barbados,4843800000
Brunei Darussalam,14006497000
Bhutan,2539551327
Botswana,18737066307
Central African Republic,2516498412
Canada,2.00149E+12
Central Europe and the Baltics,1.90556E+12
Switzerland,8.0064E+11
Channel Islands,11735662220
Chile,3.16714E+11
China,1.78205E+13
Cote d'Ivoire,71811075955
Cameroon,45338285386
"Congo, Dem. Rep.",55350968593
"Congo, Rep.",13366230821
Colombia,3.18512E+11
Comoros,1296089479
Cabo Verde,2091741774
Costa Rica,64616482168
Caribbean small states,75672802627
Cuba,
Curacao,2699612458
Cayman Islands,6028373541
Cyprus,28408064462
Czechia,2.81791E+11
Germany,4.25993E+12
Djibouti,3372287462
Dominica,555266666.7
Denmark,3.98303E+11
Dominican Republic,94243426487
Algeria,1.63472E+11
East Asia & Pacific (excluding high income),2.08374E+13
Early-demographic dividend,1.26742E+13
East Asia & Pacific,3.10956E+13
Europe & Central Asia (excluding high income),3.58168E+12
Europe & Central Asia,2.51539E+13
Ecuador,1.06166E+11
"Egypt, Arab Rep.",4.24672E+11
Euro area,1.45709E+13
Eritrea,
Spain,1.42738E+12
Estonia,37191166152
Ethiopia,1.11262E+11
European Union,1.71879E+13
Fragile and conflict affected situations,1.78349E+12
Finland,2.96388E+11
Fiji,4296235428
France,2.95788E+12
Faroe Islands,3649878680
"Micronesia, Fed. Sts.",404028900
Gabon,20217946921
United Kingdom,3.12248E+12
Georgia,18629365612
Ghana,79156409410
Gibraltar,
Guinea,16091817842
"Gambia, The",2038414974
Guinea-Bissau,1638517607
Equatorial Guinea,12269393392
Greece,2.14874E+11
Grenada,1122800000
Greenland,3235816195
Guatemala,86053079767
Guam,6123000000
Guyana,8044498801
High income,6.00167E+13
"Hong Kong SAR, China",3.68911E+11
Honduras,28488721296
Heavily indebted poor countries (HIPC),8.98772E+11
Croatia,68843674641
Haiti,20877414952
Hungary,1.82275E+11
IBRD only,3.56156E+13
IDA & IBRD total,3.82462E+13
IDA total,2.63095E+12
IDA blend,1.09604E+12
Indonesia,1.18651E+12
IDA only,1.53488E+12
Isle of Man,
India,3.15031E+12
Not classified,
Ireland,5.04183E+11
"Iran, Islamic Rep.",3.59097E+11
Iraq,2.07692E+11
Iceland,25552639899
Israel,4.88527E+11
Italy,2.11436E+12
Jamaica,14657586359
Jordan,45116317042
Japan,5.00554E+12
Kazakhstan,1.97112E+11
Kenya,1.09704E+11
Kyrgyz Republic,8740681889
Cambodia,26961061152
Kiribati,227610034.8
St. Kitts and Nevis,860844444.4
"Korea, Rep.",1.81096E+12
Kuwait,1.36797E+11
Latin America & Caribbean (excluding high income),4.62416E+12
Lao PDR,18827148530
Lebanon,23131941557
Liberia,3509000000
Libya,39798423941
St. Lucia,1691259259
Latin America & Caribbean,5.51052E+12
Least developed countries: UN classification,1.26646E+12
Low income,4.67877E+11
Liechtenstein,7186428783
Sri Lanka,88496535599
Lower middle income,7.59201E+12
Low & middle income,3.65373E+13
Lesotho,2373416269
Late-demographic dividend,2.68275E+13
Lithuania,66414994992
Luxembourg,85506243834
Latvia,39725383601
"Macao SAR, China",30123795337
St. Martin (French part),
Morocco,1.42867E+11
Monaco,8596156574
Moldova,13692230147
Madagascar,14554754115
Maldives,5405557162
Middle East & North Africa,3.74099E+12
Mexico,1.27284E+12
Marshall Islands,259538700
Middle income,3.60662E+13
North Macedonia,13825049832
Mali,19309463506
Malta,17743376199
Myanmar,65124769602
Middle East & North Africa (excluding high income),1.50701E+12
Montenegro,5861430526
Mongolia,15286441740
Northern Mariana Islands,
Mozambique,15776757420
Mauritania,9996240419
Mauritius,11476433604
Malawi,12602334124
Malaysia,3.72981E+11
North America,2.53237E+13
Namibia,12446290855
New Caledonia,10071349707
Niger,14915002098
Nigeria,4.40834E+11
Nicaragua,14145852101
Netherlands,1.0118E+12
Norway,4.90293E+11
Nepal,36924841430
Nauru,145536603.2
New Zealand,2.55552E+11
OECD members,5.83639E+13
Oman,88191977373
Other small states,4.55685E+11
Pakistan,3.48263E+11
Panama,67406738052
Peru,2.23718E+11
Philippines,3.94087E+11
Palau,217800000
Papua New Guinea,26311656000
Poland,6.79442E+11
Pre-demographic dividend,1.42959E+12
Puerto Rico,1.06369E+11
"Korea, Dem. People's Rep.",
Portugal,2.53983E+11
Paraguay,39950899733
West Bank and Gaza,18109000000
Pacific island small states,9475964549
Post-demographic dividend,5.50909E+13
French Polynesia,6080359305
Qatar,1.79677E+11
Romania,2.85405E+11
Russian Federation,1.83689E+12
Rwanda,11055281971
South Asia,4.06278E+12
Saudi Arabia,8.68586E+11
Sudan,34229513775
Senegal,27569136728
Singapore,4.23797E+11
Solomon Islands,1580303517
Sierra Leone,4249234574
El Salvador,29451240000
San Marino,1855382833
Somalia,7628000011
Serbia,63082021206
Sub-Saharan Africa (excluding high income),1.92517E+12
South Sudan,
Sub-Saharan Africa,1.92646E+12
Small states,5.40834E+11
Sao Tome and Principe,526653790.7
Suriname,2984706244
Slovak Republic,1.18657E+11
Slovenia,61748586535
Sweden,6.36856E+11
Eswatini,4748702401
Sint Maarten (Dutch part),1384636872
Seychelles,1286687873
Syrian Arab Republic,
Turks and Caicos Islands,1044778790
Chad,11779981332
East Asia & Pacific (IDA & IBRD countries),2.08113E+13
Europe & Central Asia (IDA & IBRD countries),4.61537E+12
Togo,8334047486
Thailand,5.05568E+11
Tajikistan,8937805347
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),5.23823E+12
Timor-Leste,3621222400
Middle East & North Africa (IDA & IBRD countries),1.48891E+12
Tonga,469228124.2
South Asia (IDA & IBRD),4.06278E+12
Sub-Saharan Africa (IDA & IBRD countries),1.92646E+12
Trinidad and Tobago,24460196270
Tunisia,46687298709
Turkiye,8.19034E+11
Tuvalu,60196366.81
Tanzania,70655628141
Uganda,40510241366
Ukraine,1.99766E+11
Upper middle income,2.84751E+13
Uruguay,61412268249
United States,2.33151E+13
Uzbekistan,69600614989
St. Vincent and the Grenadines,872226063.7
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,3.66138E+11
Vanuatu,971636097.9
World,9.68824E+13
Samoa,843850777.8
Kosovo,9412034299
"Yemen, Rep.",
South Africa,4.19016E+11
Zambia,22147649569
Zimbabwe,28371238666
